trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
16,0,16,0,35.8695936,36.8698391,36.8698391,0,up,1,0.5197643,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
17,0,17,0,37.4196538,38.4197363,38.4197363,0,up,1,0.5308308,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
18,0,18,0,38.9694833,39.9698963,39.9698963,0,up,0,0.4906962,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
19,0,19,0,40.4861792,41.4865705,41.4865705,-1,up,0,0.3768938,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
20,0,20,0,41.8865318,42.9500403,42.9500403,2,up,0,0.3125345,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
21,0,21,0,43.2863689,44.28631,44.28631,0,up,1,0.4808772,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
22,0,22,0,44.7860672,45.786434,45.786434,-4,down,1,0.6085055,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
23,0,23,0,46.4192987,47.4194628,47.4194628,-2,down,1,0.5828229,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
24,0,24,0,48.0191011,49.0193679,49.0193679,0,up,1,0.514446,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
25,0,25,0,49.5523655,50.552796,50.552796,0,up,1,0.4680243,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
26,0,26,0,51.0524839,52.0527654,52.0527654,0,up,1,0.4020604,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
27,0,27,0,52.4857518,53.5295277,53.5295277,-1,up,0,0.6133441,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
28,0,28,0,54.1690246,55.1693982,55.1693982,3,down,1,0.504737,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
29,0,29,0,55.702285,56.7026031,56.7026031,0,up,1,0.3784707,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
30,0,30,0,57.1021383,58.1024251,58.1024251,-4,down,1,0.4876323,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
31,0,31,0,58.6188313,59.6191441,59.6191441,-4,up,0,0.4129465,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
